time,currency,impact,event,forecast,previous
2025-08-24T18:45:00-04:00,NZD,Medium,Retail Sales q/q,0.1%,0.8%
2025-08-24T18:45:00-04:00,NZD,Low,Core Retail Sales q/q,-0.3%,0.4%
2025-08-25T03:00:00-04:00,GBP,Holiday,Bank Holiday,,
2025-08-25T04:00:00-04:00,EUR,Medium,German ifo Business Climate,88.7,88.6
2025-08-25T08:30:00-04:00,CAD,Low,Corporate Profits q/q,,2.7%
2025-08-25T09:00:00-04:00,EUR,Low,Belgian NBB Business Climate,-9.8,-10.8
2025-08-25T10:00:00-04:00,USD,Medium,New Home Sales,635K,627K
2025-08-25T15:15:00-04:00,USD,Low,FOMC Member Logan Speaks,,
2025-08-25T19:01:00-04:00,GBP,Low,BRC Shop Price Index y/y,0.9%,0.7%
2025-08-25T19:15:00-04:00,USD,Low,FOMC Member Williams Speaks,,
2025-08-25T19:50:00-04:00,JPY,Low,SPPI y/y,3.2%,3.2%
2025-08-25T21:30:00-04:00,AUD,Low,Monetary Policy Meeting Minutes,,
2025-08-26T01:00:00-04:00,JPY,Low,BOJ Core CPI y/y,2.4%,2.3%
2025-08-26T08:30:00-04:00,USD,Medium,Core Durable Goods Orders m/m,0.3%,0.2%
2025-08-26T08:30:00-04:00,USD,Medium,Durable Goods Orders m/m,-3.8%,-9.3%
2025-08-26T08:30:00-04:00,USD,Low,FOMC Member Barkin Speaks,,
2025-08-26T09:00:00-04:00,USD,Low,HPI m/m,0.0%,-0.2%
2025-08-26T09:00:00-04:00,USD,Low,S&P/CS Composite-20 HPI y/y,2.9%,2.8%
2025-08-26T10:00:00-04:00,GBP,Low,MPC Member Mann Speaks,,
2025-08-26T10:00:00-04:00,USD,Medium,CB Consumer Confidence,96.3,97.2
2025-08-26T10:00:00-04:00,USD,Medium,Richmond Manufacturing Index,-17,-20
2025-08-26T14:30:00-04:00,CAD,High,BOC Gov Macklem Speaks,,
2025-08-26T16:30:00-04:00,USD,Low,API Weekly Statistical Bulletin,,
2025-08-26T20:30:00-04:00,AUD,Low,MI Leading Index m/m,,0.0%
2025-08-26T21:30:00-04:00,AUD,High,CPI y/y,2.3%,1.9%
2025-08-26T21:30:00-04:00,AUD,Low,Construction Work Done q/q,1.0%,0.0%
2025-08-27T02:00:00-04:00,EUR,Low,German GfK Consumer Climate,-21.3,-21.5
2025-08-27T04:00:00-04:00,CHF,Low,UBS Economic Expectations,,2.4
2025-08-27T06:00:00-04:00,GBP,Low,CBI Realized Sales,-28,-34
2025-08-27T09:00:00-04:00,CNY,Low,CB Leading Index m/m,,-0.2%
2025-08-27T10:30:00-04:00,USD,Low,Crude Oil Inventories,,-6.0M
2025-08-27T11:45:00-04:00,USD,Low,FOMC Member Barkin Speaks,,
2025-08-27T21:00:00-04:00,NZD,Low,ANZ Business Confidence,,47.8
2025-08-27T21:30:00-04:00,AUD,Low,Private Capital Expenditure q/q,0.8%,-0.1%
2025-08-28T03:00:00-04:00,CHF,Medium,GDP q/q,0.1%,0.5%
2025-08-28T04:00:00-04:00,EUR,Low,M3 Money Supply y/y,3.5%,3.3%
2025-08-28T04:00:00-04:00,EUR,Low,Private Loans y/y,2.4%,2.2%
2025-08-28T05:33:00-04:00,EUR,Low,Italian 10-y Bond Auction,,3.52|1.6
2025-08-28T07:30:00-04:00,EUR,Low,ECB Monetary Policy Meeting Accounts,,
2025-08-28T08:30:00-04:00,CAD,Low,Current Account,-18.6B,-2.1B
2025-08-28T08:30:00-04:00,USD,High,Prelim GDP q/q,3.1%,3.0%
2025-08-28T08:30:00-04:00,USD,High,Unemployment Claims,231K,235K
2025-08-28T08:30:00-04:00,USD,Medium,Prelim GDP Price Index q/q,2.0%,2.0%
2025-08-28T10:00:00-04:00,USD,Medium,Pending Home Sales m/m,-0.3%,-0.8%
2025-08-28T10:30:00-04:00,USD,Low,Natural Gas Storage,,13B
2025-08-28T18:00:00-04:00,USD,Medium,FOMC Member Waller Speaks,,
2025-08-28T19:30:00-04:00,JPY,Medium,Tokyo Core CPI y/y,2.6%,2.9%
2025-08-28T19:30:00-04:00,JPY,Low,Unemployment Rate,2.5%,2.5%
2025-08-28T19:50:00-04:00,JPY,Low,Prelim Industrial Production m/m,-1.2%,1.7%
2025-08-28T19:50:00-04:00,JPY,Low,Retail Sales y/y,1.6%,2.0%
2025-08-28T21:30:00-04:00,AUD,Low,Private Sector Credit m/m,0.6%,0.6%
2025-08-29T01:00:00-04:00,JPY,Low,Consumer Confidence,34.2,33.7
2025-08-29T01:00:00-04:00,JPY,Low,Housing Starts y/y,-9.8%,-15.6%
2025-08-29T02:00:00-04:00,EUR,Low,German Import Prices m/m,-0.3%,0.0%
2025-08-29T02:00:00-04:00,EUR,Low,German Retail Sales m/m,-0.2%,1.0%
2025-08-29T02:29:00-04:00,EUR,Medium,German Prelim CPI m/m,0.0%,0.3%
2025-08-29T02:45:00-04:00,EUR,Low,French Consumer Spending m/m,-0.4%,0.6%
2025-08-29T02:45:00-04:00,EUR,Low,French Final Private Payrolls q/q,0.0%,0.0%
2025-08-29T02:45:00-04:00,EUR,Low,French Prelim CPI m/m,0.5%,0.2%
2025-08-29T02:45:00-04:00,EUR,Low,French Prelim GDP q/q,0.3%,0.3%
2025-08-29T03:00:00-04:00,CHF,Low,KOF Economic Barometer,97.9,101.1
2025-08-29T03:00:00-04:00,EUR,Medium,Spanish Flash CPI y/y,2.8%,2.7%
2025-08-29T03:55:00-04:00,EUR,Low,German Unemployment Change,10K,2K
2025-08-29T05:00:00-04:00,EUR,Low,Italian Prelim CPI m/m,0.2%,0.4%
2025-08-29T08:30:00-04:00,CAD,High,GDP m/m,0.2%,-0.1%
2025-08-29T08:30:00-04:00,USD,High,Core PCE Price Index m/m,0.3%,0.3%
2025-08-29T08:30:00-04:00,USD,Low,Goods Trade Balance,-90.7B,-86.0B
2025-08-29T08:30:00-04:00,USD,Low,Personal Income m/m,0.4%,0.3%
2025-08-29T08:30:00-04:00,USD,Low,Personal Spending m/m,0.5%,0.3%
2025-08-29T08:30:00-04:00,USD,Low,Prelim Wholesale Inventories m/m,0.2%,0.2%
2025-08-29T09:45:00-04:00,USD,Low,Chicago PMI,46.1,47.1
2025-08-29T10:00:00-04:00,USD,Medium,Revised UoM Consumer Sentiment,58.6,58.6
2025-08-29T10:00:00-04:00,USD,Low,Revised UoM Inflation Expectations,,4.9%
2025-08-30T21:30:00-04:00,CNY,High,Manufacturing PMI,,49.3
2025-08-30T21:30:00-04:00,CNY,Medium,Non-Manufacturing PMI,,50.1
