ch_n,atr_n,value,state,number
23,18,-2.227381997658367,1,0
34,14,-2.227381997658367,1,1
18,12,-2.227381997658367,1,2
30,11,-2.227381997658367,1,3
16,18,-2.227381997658367,1,4
19,17,-2.227381997658367,1,5
30,17,-2.227381997658367,1,6
14,28,-2.227381997658367,1,7
24,25,-2.227381997658367,1,8
14,18,-2.227381997658367,1,9
51,23,-2.227381997658367,1,10
44,14,-2.227381997658367,1,11
38,14,-2.227381997658367,1,12
59,22,-2.227381997658367,1,13
36,14,-2.227381997658367,1,14
26,20,-2.227381997658367,1,15
43,10,-2.227381997658367,1,16
23,15,-2.227381997658367,1,17
31,20,-2.227381997658367,1,18
10,28,-2.227381997658367,1,19
43,12,-2.227381997658367,1,20
20,12,-2.227381997658367,1,21
27,16,-2.227381997658367,1,22
10,13,-2.227381997658367,1,23
21,10,-2.227381997658367,1,24
35,19,-2.227381997658367,1,25
18,16,-2.227381997658367,1,26
33,23,-2.227381997658367,1,27
26,12,-2.227381997658367,1,28
39,11,-2.227381997658367,1,29
28,15,-2.227381997658367,1,30
31,10,-2.227381997658367,1,31
17,13,-2.227381997658367,1,32
21,17,-2.227381997658367,1,33
15,11,-2.227381997658367,1,34
23,13,-2.227381997658367,1,35
29,18,-2.227381997658367,1,36
40,30,-2.227381997658367,1,37
47,15,-2.227381997658367,1,38
34,18,-2.227381997658367,1,39
