ema_fast,ema_slow,bb_n,bb_k,bw_q,value,state,number
5,61,34,1.9751231079914056,0.4293512760379973,-2.227381997658367,1,0
27,54,37,2.843840067575079,0.13577388050175118,-2.227381997658367,1,1
6,74,40,1.5230398258694833,0.3025177201067786,-2.227381997658367,1,2
5,72,36,1.989147260892282,0.15778295460088768,-2.227381997658367,1,3
16,64,37,2.341950734110814,0.13473466207148213,-2.227381997658367,1,4
28,58,28,2.2552068543757064,0.36489256246995794,-2.227381997658367,1,5
11,50,29,2.953442376879573,0.4913694680534758,-2.227381997658367,1,6
11,78,20,2.330478994488649,0.1393040086698385,-2.227381997658367,1,7
29,37,33,1.8258402787103625,0.32111133980981577,-2.227381997658367,1,8
30,41,34,1.9357744347447474,0.293592792314345,-2.227381997658367,1,9
21,23,20,2.5224956197705,0.48286848585538317,-2.227381997658367,1,10
22,55,31,2.9730674132830517,0.22203338398354722,-2.227381997658367,1,11
24,46,24,2.593552266866896,0.41088174707732095,-2.227381997658367,1,12
16,63,14,2.7526762524834822,0.22532031057782553,-2.227381997658367,1,13
11,31,39,2.085806990257105,0.4233427149833043,-2.227381997658367,1,14
25,67,34,1.744932046020292,0.2249329861845996,-2.227381997658367,1,15
20,54,25,1.6391009692307175,0.42464657589359495,-2.227381997658367,1,16
8,46,31,2.1194711094367467,0.3518953239265644,-2.227381997658367,1,17
18,61,37,2.5129228665353844,0.26205036979610136,-2.227381997658367,1,18
13,69,40,2.7825490489445333,0.17874880955028327,-2.227381997658367,1,19
25,51,31,2.153323686206516,0.11589182784730345,-2.227381997658367,1,20
5,77,40,1.522664002663499,0.2829308197721886,-2.227381997658367,1,21
8,72,36,1.5511011164393178,0.37774314419508614,-2.227381997658367,1,22
8,80,38,1.7436058583483827,0.19040837657173756,-2.227381997658367,1,23
6,58,35,1.8951625977642181,0.3265192534474496,-2.227381997658367,1,24
14,72,40,1.679342188557289,0.255449601000073,-2.227381997658367,1,25
27,66,33,2.003384483772913,0.4486582222727339,-2.227381997658367,1,26
7,60,38,2.7133394392344306,0.10138080037943473,-2.227381997658367,1,27
10,46,32,2.3762162811533383,0.4584860617589988,-2.227381997658367,1,28
5,72,36,2.034552257774034,0.39107668231199977,-2.227381997658367,1,29
19,74,29,1.8966685438317594,0.3322640967593826,-2.227381997658367,1,30
5,64,37,2.3790325739665987,0.17099870206383105,-2.227381997658367,1,31
9,69,35,2.2547846941083,0.15153012886389375,-2.227381997658367,1,32
14,75,37,2.202993836153563,0.20142430686816168,-2.227381997658367,1,33
7,56,38,2.8721305112797957,0.15673999036705386,-2.227381997658367,1,34
12,51,27,1.8108822123466946,0.1249639015503442,-2.227381997658367,1,35
6,68,35,1.9484071049639884,0.3562624532580744,-2.227381997658367,1,36
10,60,39,2.3057892640117434,0.13886091460351666,-2.227381997658367,1,37
27,79,33,1.6329936774913436,0.47458890176910484,-2.227381997658367,1,38
23,63,27,2.47122315186646,0.2566154872950558,-2.227381997658367,1,39
