rsi_n,buy_th,exit_th,min_atr,value,state,number
20,37,57,0.030172993701069423,-2.227381997658367,1,0
17,39,49,0.0014190602490166072,-2.227381997658367,1,1
26,16,53,0.02547079120407726,-2.227381997658367,1,2
17,25,48,0.02884974198554743,-2.227381997658367,1,3
23,37,46,0.03847056057149595,-2.227381997658367,1,4
17,20,65,0.03954342992590332,-2.227381997658367,1,5
25,28,58,0.017017229019139258,-2.227381997658367,1,6
9,24,48,0.044424226665405145,-2.227381997658367,1,7
23,34,54,0.03729066003316776,-2.227381997658367,1,8
20,24,59,0.015550560475868358,-2.227381997658367,1,9
11,32,65,0.012647791102579745,-2.227381997658367,1,10
30,38,51,0.0007261862969319792,-2.227381997658367,1,11
14,40,59,0.001642506136899845,-2.227381997658367,1,12
19,33,56,0.04981115623652478,-2.227381997658367,1,13
14,36,62,0.0312699592785887,-2.227381997658367,1,14
15,30,51,0.008776991092584986,-2.227381997658367,1,15
22,40,45,0.022796832527495793,-2.227381997658367,1,16
28,36,56,0.021129244282468422,-2.227381997658367,1,17
19,31,51,0.007808180550168756,-2.227381997658367,1,18
12,40,62,0.032550042572992086,-2.227381997658367,1,19
17,35,48,0.00666908987092369,-2.227381997658367,1,20
26,15,53,0.022421922431521843,-2.227381997658367,1,21
22,15,52,0.027816979799646566,-2.227381997658367,1,22
25,19,56,0.0338033143061324,-2.227381997658367,1,23
21,27,49,0.02692881758479031,-2.227381997658367,1,24
27,18,54,0.018586273230455374,-2.227381997658367,1,25
30,38,50,0.013114092360323437,-2.227381997658367,1,26
24,21,58,0.02440048612789761,-2.227381997658367,1,27
28,22,53,0.03529174144721801,-2.227381997658367,1,28
17,30,47,0.042378719382010106,-2.227381997658367,1,29
18,27,55,0.02947074199109411,-2.227381997658367,1,30
15,24,46,0.027650642571202474,-2.227381997658367,1,31
16,18,49,0.020023373516641522,-2.227381997658367,1,32
20,38,45,0.025702140957362715,-2.227381997658367,1,33
18,25,47,0.038736166759369105,-2.227381997658367,1,34
12,28,49,0.0309102614954703,-2.227381997658367,1,35
23,34,61,0.03570121494597642,-2.227381997658367,1,36
21,22,57,0.015501114113919067,-2.227381997658367,1,37
9,17,53,0.041228487875713066,-2.227381997658367,1,38
13,25,47,0.024421829809447047,-2.227381997658367,1,39
